Date,Open,High,Low,Close,Volume
2025-12-31,232.9,232.99,230.12,230.82,24380000
2025-12-30,231.21,232.77,230.2,232.53,21910000
2025-12-29,231.94,232.6,230.77,232.07,19800000
2025-12-26,232.04,232.99,231.18,232.52,15990000
2025-12-24,232.13,232.95,231.33,232.38,11420000
2025-12-23,229.05,232.45,228.73,232.14,29230000
2025-12-22,228.61,229.48,226.71,228.43,32259999
2025-12-19,226.76,229.13,225.58,227.35,85540000
2025-12-18,225.71,229.23,224.41,226.76,50270000
2025-12-17,224.65,225.19,220.99,221.27,44030000
2025-12-16,223.04,223.66,221.13,222.56,39300000
2025-12-15,227.93,227.93,221.5,222.54,47290000
2025-12-12,229.87,230.08,225.12,226.19,35640000
2025-12-11,230.71,232.11,228.69,230.28,28250000
2025-12-10,228.8,232.42,228.46,231.78,38790000
2025-12-09,226.84,228.57,225.11,227.92,25840000
2025-12-08,229.59,230.83,226.27,226.89,35020000
2025-12-05,230.32,231.24,228.55,229.53,33119999
2025-12-04,232.77,233.5,226.8,229.11,45680000
2025-12-03,233.35,233.38,230.61,232.38,35500000
2025-12-02,235.01,238.97,233.55,234.42,45790000
2025-12-01,233.22,235.8,232.25,233.88,42900000
2025-11-28,231.24,233.29,230.22,233.22,20290000
2025-11-26,230.74,231.75,228.77,229.16,38500000
2025-11-25,226.38,230.52,223.8,229.67,39380000
2025-11-24,222.55,227.33,222.27,226.28,54320000
2025-11-21,216.35,222.21,215.18,220.69,68490000
2025-11-20,227.05,227.41,216.74,217.14,50310000
2025-11-19,223.74,223.74,218.52,222.69,58340000
2025-11-18,228.1,230.2,222.42,222.55,60610000
2025-11-17,233.25,234.6,229.19,232.87,59920000
2025-11-14,235.06,238.73,232.89,234.69,38960000
2025-11-13,243.05,243.75,236.5,237.58,41400000
2025-11-12,250.24,250.37,243.75,244.2,31190000
2025-11-11,248.41,249.75,247.23,249.1,23560000
2025-11-10,248.34,251.75,245.59,248.4,36480000
2025-11-07,242.9,244.9,238.49,244.41,46370000
2025-11-06,249.15,250.38,242.17,243.04,46000000
2025-11-05,249.03,251.0,246.16,250.2,40610000
2025-11-04,250.38,257.01,248.66,249.32,51550000
2025-11-03,255.36,258.6,252.9,254.0,96000000
2025-10-31,250.1,250.5,243.98,244.22,166340000
2025-10-30,227.06,228.44,222.75,222.86,102250000
2025-10-29,231.67,232.82,227.76,230.3,52040000
2025-10-28,228.21,231.49,226.21,229.25,47100000
2025-10-27,227.66,228.4,225.54,226.97,38270000
2025-10-24,221.97,225.4,221.9,224.21,38690000
2025-10-23,219.0,221.3,218.18,221.09,31540000
2025-10-22,219.3,220.01,216.52,217.95,44310000
2025-10-21,218.43,223.32,217.99,222.03,50490000
2025-10-20,213.88,216.69,213.59,216.48,38880000
2025-10-17,214.56,214.8,211.03,213.04,45990000
2025-10-16,215.67,218.59,212.81,214.47,42410000
2025-10-15,216.62,217.71,212.66,215.57,45910000
2025-10-14,215.55,219.32,212.6,216.39,45670000
2025-10-13,217.7,220.68,217.04,220.07,37810000
2025-10-10,226.21,228.25,216.0,216.37,72370000
2025-10-09,224.99,228.21,221.75,227.74,46410000
2025-10-08,222.92,226.73,221.19,225.22,46690000
2025-10-07,220.88,222.89,220.17,221.78,31190000
2025-10-06,221.0,221.73,216.03,220.9,43690000
2025-10-03,223.44,224.2,219.34,219.51,43640000
2025-10-02,221.01,222.81,218.95,222.41,41260000
2025-10-01,217.36,222.15,216.61,220.63,43930000
2025-09-30,222.03,222.24,217.89,219.57,48400000
2025-09-29,220.08,222.6,219.3,222.17,44260000
2025-09-26,219.08,221.05,218.02,219.78,41650000
2025-09-25,220.06,220.67,216.47,218.15,52230000
2025-09-24,224.15,224.56,219.45,220.21,49510000
2025-09-23,227.83,227.86,220.07,220.71,70960000
2025-09-22,230.56,230.57,227.51,227.63,45910000
2025-09-19,232.37,234.16,229.7,231.48,97940000
2025-09-18,232.5,233.48,228.79,231.23,37930000
2025-09-17,233.77,234.3,228.71,231.62,42820000
2025-09-16,232.93,235.9,232.23,234.05,38200000
2025-09-15,230.63,233.73,230.32,231.43,33240000
2025-09-12,230.35,230.79,226.29,228.15,38500000
2025-09-11,231.49,231.53,229.34,229.95,37490000
2025-09-10,237.51,237.68,229.1,230.33,60910000
2025-09-09,236.35,238.85,235.08,238.24,27030000
2025-09-08,234.94,237.6,233.75,235.84,33950000
2025-09-05,235.19,236.0,231.93,232.33,36720000
2025-09-04,231.18,235.77,230.78,235.68,59390000
2025-09-03,225.21,227.17,224.36,225.99,29220000
2025-09-02,223.52,226.17,221.83,225.34,38840000
2025-08-29,231.32,231.81,228.16,229.0,26200000
2025-08-28,229.01,232.71,228.02,231.6,33680000
2025-08-27,228.57,229.87,227.81,229.12,21250000
2025-08-26,227.11,229.0,226.02,228.71,26110000
2025-08-25,227.35,229.6,227.31,227.94,22630000
