Date,Open,High,Low,Close,Volume
2025-12-31,456.1,456.55,449.3,449.72,49080000
2025-12-30,461.09,463.12,453.83,454.43,59240000
2025-12-29,469.0,469.4,459.0,459.64,66260000
2025-12-26,485.23,489.09,473.82,475.19,58780000
2025-12-24,488.48,490.9,476.8,485.4,41290000
2025-12-23,489.39,491.97,482.84,485.56,58220000
2025-12-22,489.88,498.83,485.33,488.73,86920000
2025-12-19,488.12,490.49,474.72,481.2,103310000
2025-12-18,478.16,490.86,473.12,483.37,95170000
2025-12-17,488.22,495.28,466.2,467.26,106490000
2025-12-16,472.21,491.5,465.83,489.88,107610000
2025-12-15,469.44,481.77,467.66,475.31,114540000
2025-12-12,448.09,463.01,441.67,458.96,95660000
2025-12-11,448.95,449.27,440.33,446.89,55980000
2025-12-10,446.07,456.88,443.61,451.45,63260000
2025-12-09,437.54,452.39,435.7,445.17,62370000
2025-12-08,447.45,449.75,435.25,439.58,69170000
2025-12-05,453.03,458.87,451.66,455.0,56430000
2025-12-04,449.94,454.63,445.39,454.53,71910000
2025-12-03,432.1,447.92,431.11,446.74,87480000
2025-12-02,430.81,436.8,422.12,429.24,69340000
2025-12-01,425.32,433.66,425.29,430.14,57460000
2025-11-28,426.59,432.93,426.2,430.17,36250000
2025-11-26,423.95,426.94,416.89,426.58,63460000
2025-11-25,414.42,420.48,405.95,419.4,71920000
2025-11-24,402.17,421.72,401.09,417.78,96810000
2025-11-21,402.32,402.8,383.76,391.09,100460000
2025-11-20,414.63,428.94,394.74,395.23,113550000
2025-11-19,406.18,411.78,398.5,403.99,72050000
2025-11-18,405.38,408.9,393.71,401.25,80690000
2025-11-17,398.74,423.96,398.74,408.92,102210000
2025-11-14,386.3,412.19,382.78,404.35,105510000
2025-11-13,423.13,424.5,396.34,401.99,118950000
2025-11-12,442.15,442.33,426.56,430.6,58510000
2025-11-11,439.4,442.49,432.36,439.62,60530000
2025-11-10,439.6,449.67,433.36,445.23,76520000
2025-11-07,437.92,439.36,421.88,429.52,103470000
2025-11-06,461.96,467.45,435.09,445.91,109620000
2025-11-05,452.05,466.33,440.71,462.07,85570000
2025-11-04,454.46,460.22,443.6,444.26,87760000
2025-11-03,455.99,474.07,453.8,468.37,84600000
2025-10-31,446.75,458.0,443.69,456.56,83140000
2025-10-30,451.05,455.06,439.61,440.1,72450000
2025-10-29,462.5,465.7,452.65,461.51,67980000
2025-10-28,454.77,467.0,451.6,460.55,80190000
2025-10-27,439.98,460.16,438.69,452.42,105870000
2025-10-24,446.83,451.68,430.17,433.72,94730000
2025-10-23,420.0,449.4,413.9,448.98,126710000
2025-10-22,443.45,445.54,429.0,438.97,84020000
2025-10-21,445.76,449.3,442.05,442.6,54410000
2025-10-20,443.86,449.8,440.61,447.43,63720000
